"iter","step","center","B.in","parm","ar.mean","ar.fem","ar.sd","ar.20to49","ar.50to59","ar.60to69","ar.70plus","growth.colon.beta2","growth.colon.beta1","growth.rectum.beta2","growth.rectum.beta1","trans.prob.intercept","trans.prob.fem","trans.prob.rectum","trans.prob.fem.rectum","trans.prob.age.int","trans.prob.age.fem","trans.prob.age.rectum","trans.prob.age.fem.rectum","mst.colon.tau","mst.rectum.tau"
5,1,2019,10,0,-6.61995408693755,-0.415213702261569,1.11697891647748,0.044130842755366,0.0413561584206545,0.0374759622325853,-0.00375267784333282,21.4964705732339,1.59570369009334,15.944089472273,1.76715789880533,3.46809684561088,0.0046003478114246,0.0300742974415836,0.181185155611577,-0.00901599225158617,0.00318865991972948,-0.0029983605061645,0.000671954861453456,4.73535508539539,4.68579343110811
5,1,2019,10,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,2,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,3,0,0,0.144337567297406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,4,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,5,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,6,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,7,0,0,0,0,0,0,0.00721687836487032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,8,0,0,0,0,0,0,0,4.22909072181401,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,9,0,0,0,0,0,0,0,0,0.562916512459885,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,10,0,0,0,0,0,0,0,0,0,4.22909072181401,0,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,11,0,0,0,0,0,0,0,0,0,0,0.562916512459885,0,0,0,0,0,0,0,0,0,0
5,1,2019,10,12,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0
5,1,2019,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
5,1,2019,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721687836487032,0,0,0,0,0,0,0
5,1,2019,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721687836487032,0,0,0,0,0,0
5,1,2019,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0
5,1,2019,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115470053837925,0,0,0,0
5,1,2019,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115470053837925,0,0,0
5,1,2019,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115470053837925,0,0
5,1,2019,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505181485540923,0
5,1,2019,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505181485540923
6,1,2080,10,0,-6.46147726679862,-0.467621560231501,1.0550316356128,0.0426287653871773,0.0293652293517074,0.0274940199801802,0.0119872243875706,21.3406487781389,1.68648475774292,16.5512714422245,1.53463890606681,3.4617628765588,0.127466246544045,0.0467419422463846,0.234536819985202,-0.00557942311058011,0.00150775583698112,-0.00261131188972691,0.00356735290987614,4.22152279408443,4.63237241131159
6,1,2080,10,1,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,2,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,3,0,0,0.144337567297406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,4,0,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,5,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,6,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,7,0,0,0,0,0,0,0.00721687836487032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,8,0,0,0,0,0,0,0,4.22909072181401,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,9,0,0,0,0,0,0,0,0,0.562916512459885,0,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,10,0,0,0,0,0,0,0,0,0,4.22909072181401,0,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,11,0,0,0,0,0,0,0,0,0,0,0.562916512459885,0,0,0,0,0,0,0,0,0,0
6,1,2080,10,12,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0
6,1,2080,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0
6,1,2080,10,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721687836487032,0,0,0,0,0,0,0
6,1,2080,10,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0721687836487032,0,0,0,0,0,0
6,1,2080,10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0
6,1,2080,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115470053837925,0,0,0,0
6,1,2080,10,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115470053837925,0,0,0
6,1,2080,10,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00115470053837925,0,0
6,1,2080,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505181485540923,0
6,1,2080,10,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.505181485540923
